CANCER_TYPE,ONCOTREE_CODE,cancerAnalyzed
Breast Sarcoma,BLPT,Breast Cancer
Breast Sarcoma,FA,Breast Cancer
Leukemia,AMLRBM15MKL1,Hematologic Cancer-Myeloid
Mature B-Cell Neoplasms,MGUSIGA,Hematologic Cancer-Lymphoid
Mature B-Cell Neoplasms,PTFL,Hematologic Cancer-Lymphoid
Mature T and NK Neoplasms,LYP,Hematologic Cancer-Lymphoid
Posttransplant Lymphoproliferative Disorders,PPTLD,Hematologic Cancer-Lymphoid
Sialoblastoma,SBL,Rare Cancer
Bladder Cancer,BLAD,Bladder Cancer
Bladder Cancer,BLCA,Bladder Cancer
Bladder Cancer,BLSC,Bladder Cancer
Bladder Cancer,IMTB,Bladder Cancer
Bladder Cancer,IUP,Bladder Cancer
Bladder Cancer,SCB,Bladder Cancer
Bladder Cancer,SCBC,Bladder Cancer
Bladder Cancer,SRCBC,Bladder Cancer
Bladder Cancer,UA,Bladder Cancer
Bladder Cancer,UAD,Bladder Cancer
Bladder Cancer,UCA,Bladder Cancer
Bladder Cancer,UCU,Bladder Cancer
Bladder Cancer,UPA,Bladder Cancer
Bladder Cancer,URCA,Bladder Cancer
Bladder Cancer,USCC,Bladder Cancer
Bladder Cancer,UTUC,Bladder Cancer
Bladder/Urinary Tract Cancer,BLADDER,Bladder Cancer
Colorectal Cancer,CAIS,Bowel Cancer-Colorectal
Colorectal Cancer,CMC,Bowel Cancer-Colorectal
Colorectal Cancer,COAD,Bowel Cancer-Colorectal
Colorectal Cancer,COADREAD,Bowel Cancer-Colorectal
Colorectal Cancer,MACR,Bowel Cancer-Colorectal
Colorectal Cancer,READ,Bowel Cancer-Colorectal
Colorectal Cancer,SRCCR,Bowel Cancer-Colorectal
Anal Cancer,AGA,Bowel Cancer-Other
Anal Cancer,ANSC,Bowel Cancer-Other
Appendiceal Cancer,APAD,Bowel Cancer-Other
Appendiceal Cancer,CTAAP,Bowel Cancer-Other
Appendiceal Cancer,GCCAP,Bowel Cancer-Other
Appendiceal Cancer,LAMN,Bowel Cancer-Other
Appendiceal Cancer,MAAP,Bowel Cancer-Other
Appendiceal Cancer,SRAP,Bowel Cancer-Other
Bowel Cancer,BOWEL,Bowel Cancer-Other
Gastrointestinal Neuroendocrine Tumor,AWDNET,Bowel Cancer-Other
Gastrointestinal Neuroendocrine Tumor,GINET,Bowel Cancer-Other
Gastrointestinal Neuroendocrine Tumor,HGNEC,Bowel Cancer-Other
Gastrointestinal Neuroendocrine Tumor,RWDNET,Bowel Cancer-Other
Gastrointestinal Neuroendocrine Tumor,SBWDNET,Bowel Cancer-Other
Gastrointestinal Neuroendocrine Tumor,SWDNET,Bowel Cancer-Other
Small Bowel Cancer,DA,Bowel Cancer-Other
Small Bowel Cancer,SBC,Bowel Cancer-Other
Small Bowel Cancer,SIC,Bowel Cancer-Other
Tubular Adenoma of the Colon,TAC,Bowel Cancer-Other
Breast Cancer,ACBC,Breast Cancer
Breast Cancer,BNNOS,Breast Cancer
Breast Cancer,BRAME,Breast Cancer
Breast Cancer,BRCA,Breast Cancer
Breast Cancer,BRCANOS,Breast Cancer
Breast Cancer,BRCNOS,Breast Cancer
Breast Cancer,BREAST,Breast Cancer
Breast Cancer,BRSRCC,Breast Cancer
Breast Cancer,CCHM,Breast Cancer
Breast Cancer,COM,Breast Cancer
Breast Cancer,CSNOS,Breast Cancer
Breast Cancer,DCIS,Breast Cancer
Breast Cancer,EMBC,Breast Cancer
Breast Cancer,IBC,Breast Cancer
Breast Cancer,IDC,Breast Cancer
Breast Cancer,ILC,Breast Cancer
Breast Cancer,IMMC,Breast Cancer
Breast Cancer,JSCB,Breast Cancer
Breast Cancer,LCIS,Breast Cancer
Breast Cancer,MASC,Breast Cancer
Breast Cancer,MASCC,Breast Cancer
Breast Cancer,MBC,Breast Cancer
Breast Cancer,MCS,Breast Cancer
Breast Cancer,MDLC,Breast Cancer
Breast Cancer,MMBC,Breast Cancer
Breast Cancer,MSCC,Breast Cancer
Breast Cancer,PD,Breast Cancer
Breast Cancer,SPC,Breast Cancer
Breast Sarcoma,BA,Breast Cancer
Breast Sarcoma,BFN,Breast Cancer
Breast Sarcoma,BPT,Breast Cancer
Breast Sarcoma,MPT,Breast Cancer
Breast Sarcoma,PBS,Breast Cancer
Breast Sarcoma,PT,Breast Cancer
Glioma,AASTR,CNS or Brain Cancer-Glioma
Glioma,AGNG,CNS or Brain Cancer-Glioma
Glioma,AOAST,CNS or Brain Cancer-Glioma
Glioma,AODG,CNS or Brain Cancer-Glioma
Glioma,APXA,CNS or Brain Cancer-Glioma
Glioma,ASTR,CNS or Brain Cancer-Glioma
Glioma,DASTR,CNS or Brain Cancer-Glioma
Glioma,DIFG,CNS or Brain Cancer-Glioma
Glioma,DIPG,CNS or Brain Cancer-Glioma
Glioma,DNT,CNS or Brain Cancer-Glioma
Glioma,ENCG,CNS or Brain Cancer-Glioma
Glioma,EPM,CNS or Brain Cancer-Glioma
Glioma,GB,CNS or Brain Cancer-Glioma
Glioma,GBM,CNS or Brain Cancer-Glioma
Glioma,GNC,CNS or Brain Cancer-Glioma
Glioma,GNG,CNS or Brain Cancer-Glioma
Glioma,GNOS,CNS or Brain Cancer-Glioma
Glioma,GSARC,CNS or Brain Cancer-Glioma
Glioma,HGGNOS,CNS or Brain Cancer-Glioma
Glioma,LGGNOS,CNS or Brain Cancer-Glioma
Glioma,OAST,CNS or Brain Cancer-Glioma
Glioma,ODG,CNS or Brain Cancer-Glioma
Glioma,PAST,CNS or Brain Cancer-Glioma
Glioma,PMA,CNS or Brain Cancer-Glioma
Glioma,PXA,CNS or Brain Cancer-Glioma
Glioma,SCGBM,CNS or Brain Cancer-Glioma
Choroid Plexus Tumor,ACPP,CNS or Brain Cancer-Other
Choroid Plexus Tumor,CPC,CNS or Brain Cancer-Other
Choroid Plexus Tumor,CPP,CNS or Brain Cancer-Other
Choroid Plexus Tumor,CPT,CNS or Brain Cancer-Other
CNS Cancer,ANM,CNS or Brain Cancer-Other
CNS Cancer,APE,CNS or Brain Cancer-Other
CNS Cancer,ATM,CNS or Brain Cancer-Other
CNS Cancer,CCE,CNS or Brain Cancer-Other
CNS Cancer,CCM,CNS or Brain Cancer-Other
CNS Cancer,CHOM,CNS or Brain Cancer-Other
CNS Cancer,EPMT,CNS or Brain Cancer-Other
CNS Cancer,HPCCNS,CNS or Brain Cancer-Other
CNS Cancer,MNG,CNS or Brain Cancer-Other
CNS Cancer,MNGT,CNS or Brain Cancer-Other
CNS Cancer,MPE,CNS or Brain Cancer-Other
CNS Cancer,PPM,CNS or Brain Cancer-Other
CNS Cancer,RHM,CNS or Brain Cancer-Other
CNS Cancer,SFTCNS,CNS or Brain Cancer-Other
CNS Cancer,SUBE,CNS or Brain Cancer-Other
CNS/Brain Cancer,BRAIN,CNS or Brain Cancer-Other
Desmoplastic/Nodular Medulloblastoma,DMBLSHH,CNS or Brain Cancer-Other
Embryonal Tumor,AMBL,CNS or Brain Cancer-Other
Embryonal Tumor,ATRT,CNS or Brain Cancer-Other
Embryonal Tumor,DMBL,CNS or Brain Cancer-Other
Embryonal Tumor,EMBT,CNS or Brain Cancer-Other
Embryonal Tumor,ETANTR,CNS or Brain Cancer-Other
Embryonal Tumor,MBEN,CNS or Brain Cancer-Other
Embryonal Tumor,MBL,CNS or Brain Cancer-Other
Embryonal Tumor,MDEP,CNS or Brain Cancer-Other
Embryonal Tumor,MMB,CNS or Brain Cancer-Other
Embryonal Tumor,ONBL,CNS or Brain Cancer-Other
Embryonal Tumor,PNET,CNS or Brain Cancer-Other
Germ Cell Tumor,BCCA,CNS or Brain Cancer-Other
Germ Cell Tumor,BEC,CNS or Brain Cancer-Other
Germ Cell Tumor,BGCT,CNS or Brain Cancer-Other
Germ Cell Tumor,BIMT,CNS or Brain Cancer-Other
Germ Cell Tumor,BMGCT,CNS or Brain Cancer-Other
Germ Cell Tumor,BMGT,CNS or Brain Cancer-Other
Germ Cell Tumor,BMT,CNS or Brain Cancer-Other
Germ Cell Tumor,BYST,CNS or Brain Cancer-Other
Large Cell/Anaplastic Medulloblastoma,AMBLNWSG3,CNS or Brain Cancer-Other
Large Cell/Anaplastic Medulloblastoma,AMBLSHH,CNS or Brain Cancer-Other
Medulloblastoma,MBLG3,CNS or Brain Cancer-Other
Medulloblastoma,MBLG4,CNS or Brain Cancer-Other
Medulloblastoma,MBLNOS,CNS or Brain Cancer-Other
Medulloblastoma,MBLNWS,CNS or Brain Cancer-Other
Medulloblastoma,MBLSHH,CNS or Brain Cancer-Other
Medulloblastoma,MBLWNT,CNS or Brain Cancer-Other
Melanocytoma,MELC,CNS or Brain Cancer-Other
Miscellaneous Brain Tumor,HGNET,CNS or Brain Cancer-Other
Miscellaneous Brain Tumor,HMBL,CNS or Brain Cancer-Other
Miscellaneous Brain Tumor,LGNET,CNS or Brain Cancer-Other
Miscellaneous Brain Tumor,MBT,CNS or Brain Cancer-Other
Miscellaneous Brain Tumor,MLYM,CNS or Brain Cancer-Other
Miscellaneous Brain Tumor,MT,CNS or Brain Cancer-Other
Miscellaneous Brain Tumor,PBT,CNS or Brain Cancer-Other
Miscellaneous Brain Tumor,PRNET,CNS or Brain Cancer-Other
Miscellaneous Neuroepithelial Tumor,ANGL,CNS or Brain Cancer-Other
Miscellaneous Neuroepithelial Tumor,ASTB,CNS or Brain Cancer-Other
Miscellaneous Neuroepithelial Tumor,CHGL,CNS or Brain Cancer-Other
Miscellaneous Neuroepithelial Tumor,CNC,CNS or Brain Cancer-Other
Miscellaneous Neuroepithelial Tumor,DIG,CNS or Brain Cancer-Other
Miscellaneous Neuroepithelial Tumor,EVN,CNS or Brain Cancer-Other
Miscellaneous Neuroepithelial Tumor,LDD,CNS or Brain Cancer-Other
Miscellaneous Neuroepithelial Tumor,MNET,CNS or Brain Cancer-Other
Miscellaneous Neuroepithelial Tumor,PGNG,CNS or Brain Cancer-Other
Miscellaneous Neuroepithelial Tumor,PGNT,CNS or Brain Cancer-Other
Miscellaneous Neuroepithelial Tumor,RGNT,CNS or Brain Cancer-Other
Pineal Tumor,PBL,CNS or Brain Cancer-Other
Pineal Tumor,PINC,CNS or Brain Cancer-Other
Pineal Tumor,PINT,CNS or Brain Cancer-Other
Pineal Tumor,PPTID,CNS or Brain Cancer-Other
Pineal Tumor,PTPR,CNS or Brain Cancer-Other
Primary CNS Melanocytic Tumors,PCNSMT,CNS or Brain Cancer-Other
Retinoblastoma,RBL,CNS or Brain Cancer-Other
Sellar Tumor,ACPG,CNS or Brain Cancer-Other
Sellar Tumor,APTAD,CNS or Brain Cancer-Other
Sellar Tumor,GCT,CNS or Brain Cancer-Other
Sellar Tumor,PCGP,CNS or Brain Cancer-Other
Sellar Tumor,PTAD,CNS or Brain Cancer-Other
Sellar Tumor,PTCA,CNS or Brain Cancer-Other
Sellar Tumor,PTCY,CNS or Brain Cancer-Other
Sellar Tumor,SCOAH,CNS or Brain Cancer-Other
Sellar Tumor,SELT,CNS or Brain Cancer-Other
Cancer of Unknown Primary,ACN,Cancer of Unknown Primary
Cancer of Unknown Primary,ADNOS,Cancer of Unknown Primary
Cancer of Unknown Primary,CUP,Cancer of Unknown Primary
Cancer of Unknown Primary,CUPNOS,Cancer of Unknown Primary
Cancer of Unknown Primary,MIXED,Cancer of Unknown Primary
Cancer of Unknown Primary,NECNOS,Cancer of Unknown Primary
Cancer of Unknown Primary,NETNOS,Cancer of Unknown Primary
Cancer of Unknown Primary,PDC,Cancer of Unknown Primary
Cancer of Unknown Primary,SCCNOS,Cancer of Unknown Primary
Cancer of Unknown Primary,SCUP,Cancer of Unknown Primary
Cancer of Unknown Primary,UDMN,Cancer of Unknown Primary
Other Cancer,OTHER,Cancer of Unknown Primary
UNKNOWN,UNKNOWN,Cancer of Unknown Primary
Esophageal/Stomach Cancer,STOMACH,Esophagogastric Cancer
Esophagogastric Cancer,DSTAD,Esophagogastric Cancer
Esophagogastric Cancer,EGC,Esophagogastric Cancer
Esophagogastric Cancer,EPDCA,Esophagogastric Cancer
Esophagogastric Cancer,ESCA,Esophagogastric Cancer
Esophagogastric Cancer,ESCC,Esophagogastric Cancer
Esophagogastric Cancer,GEJ,Esophagogastric Cancer
Esophagogastric Cancer,GINETES,Esophagogastric Cancer
Esophagogastric Cancer,GRC,Esophagogastric Cancer
Esophagogastric Cancer,ISTAD,Esophagogastric Cancer
Esophagogastric Cancer,MSTAD,Esophagogastric Cancer
Esophagogastric Cancer,PSTAD,Esophagogastric Cancer
Esophagogastric Cancer,SMN,Esophagogastric Cancer
Esophagogastric Cancer,SPDAC,Esophagogastric Cancer
Esophagogastric Cancer,SSRCC,Esophagogastric Cancer
Esophagogastric Cancer,STAD,Esophagogastric Cancer
Esophagogastric Cancer,STAS,Esophagogastric Cancer
Esophagogastric Cancer,STSC,Esophagogastric Cancer
Esophagogastric Cancer,TSTAD,Esophagogastric Cancer
Esophagogastric Cancer,USTAD,Esophagogastric Cancer
Gastrointestinal Neuroendocrine Tumors of the Esophagus/Stomach,HGNEE,Esophagogastric Cancer
Gastrointestinal Neuroendocrine Tumors of the Esophagus/Stomach,HGNES,Esophagogastric Cancer
Endometrial Cancer,OUTT,Gynecologic Cancer-Endometrial
Endometrial Cancer,UASC,Gynecologic Cancer-Endometrial
Endometrial Cancer,UCCC,Gynecologic Cancer-Endometrial
Endometrial Cancer,UCEC,Gynecologic Cancer-Endometrial
Endometrial Cancer,UCS,Gynecologic Cancer-Endometrial
Endometrial Cancer,UDDC,Gynecologic Cancer-Endometrial
Endometrial Cancer,UEC,Gynecologic Cancer-Endometrial
Endometrial Cancer,UMC,Gynecologic Cancer-Endometrial
Endometrial Cancer,UMEC,Gynecologic Cancer-Endometrial
Endometrial Cancer,UMNC,Gynecologic Cancer-Endometrial
Endometrial Cancer,UNEC,Gynecologic Cancer-Endometrial
Endometrial Cancer,UPDC,Gynecologic Cancer-Endometrial
Endometrial Cancer,USC,Gynecologic Cancer-Endometrial
Endometrial Cancer,UUC,Gynecologic Cancer-Endometrial
Cervical Cancer,CACC,Gynecologic Cancer-Other
Cervical Cancer,CEAD,Gynecologic Cancer-Other
Cervical Cancer,CEAIS,Gynecologic Cancer-Other
Cervical Cancer,CEAS,Gynecologic Cancer-Other
Cervical Cancer,CECC,Gynecologic Cancer-Other
Cervical Cancer,CEEN,Gynecologic Cancer-Other
Cervical Cancer,CEGCC,Gynecologic Cancer-Other
Cervical Cancer,CELI,Gynecologic Cancer-Other
Cervical Cancer,CEMN,Gynecologic Cancer-Other
Cervical Cancer,CEMU,Gynecologic Cancer-Other
Cervical Cancer,CENE,Gynecologic Cancer-Other
Cervical Cancer,CERMS,Gynecologic Cancer-Other
Cervical Cancer,CESC,Gynecologic Cancer-Other
Cervical Cancer,CESE,Gynecologic Cancer-Other
Cervical Cancer,ECAD,Gynecologic Cancer-Other
Cervical Cancer,GCEMU,Gynecologic Cancer-Other
Cervical Cancer,ICEMU,Gynecologic Cancer-Other
Cervical Cancer,MCCE,Gynecologic Cancer-Other
Cervical Cancer,SCCE,Gynecologic Cancer-Other
Cervical Cancer,SCEMU,Gynecologic Cancer-Other
Cervical Cancer,VGCE,Gynecologic Cancer-Other
Germ Cell Tumor,VDYS,Gynecologic Cancer-Other
Germ Cell Tumor,VIMT,Gynecologic Cancer-Other
Germ Cell Tumor,VMGCT,Gynecologic Cancer-Other
Germ Cell Tumor,VMT,Gynecologic Cancer-Other
Germ Cell Tumor,VOEC,Gynecologic Cancer-Other
Germ Cell Tumor,VYST,Gynecologic Cancer-Other
Gestational Trophoblastic Disease,CHM,Gynecologic Cancer-Other
Gestational Trophoblastic Disease,ETT,Gynecologic Cancer-Other
Gestational Trophoblastic Disease,GTD,Gynecologic Cancer-Other
Gestational Trophoblastic Disease,PSTT,Gynecologic Cancer-Other
Gestational Trophoblastic Disease,UCCA,Gynecologic Cancer-Other
Uterine Cancer,UTERUS,Gynecologic Cancer-Other
Uterine Sarcoma,ESS,Gynecologic Cancer-Other
Uterine Sarcoma,HGESS,Gynecologic Cancer-Other
Uterine Sarcoma,LGESS,Gynecologic Cancer-Other
Uterine Sarcoma,OUSARC,Gynecologic Cancer-Other
Uterine Sarcoma,UAS,Gynecologic Cancer-Other
Uterine Sarcoma,UELMS,Gynecologic Cancer-Other
Uterine Sarcoma,ULM,Gynecologic Cancer-Other
Uterine Sarcoma,ULMS,Gynecologic Cancer-Other
Uterine Sarcoma,UMLMS,Gynecologic Cancer-Other
Uterine Sarcoma,UPECOMA,Gynecologic Cancer-Other
Uterine Sarcoma,USARC,Gynecologic Cancer-Other
Uterine Sarcoma,USMT,Gynecologic Cancer-Other
Uterine Sarcoma,USTUMP,Gynecologic Cancer-Other
Uterine Sarcoma,UUS,Gynecologic Cancer-Other
Vaginal Cancer,VA,Gynecologic Cancer-Other
Vaginal Cancer,VPDC,Gynecologic Cancer-Other
Vaginal Cancer,VSC,Gynecologic Cancer-Other
Vulvar Carcinoma,VMA,Gynecologic Cancer-Other
Vulvar/Vaginal Cancer,VULVA,Gynecologic Cancer-Other
Germ Cell Tumor,ODYS,Gynecologic Cancer-Ovarian
Germ Cell Tumor,OEC,Gynecologic Cancer-Ovarian
Germ Cell Tumor,OGCT,Gynecologic Cancer-Ovarian
Germ Cell Tumor,OIMT,Gynecologic Cancer-Ovarian
Germ Cell Tumor,OMGCT,Gynecologic Cancer-Ovarian
Germ Cell Tumor,OMT,Gynecologic Cancer-Ovarian
Germ Cell Tumor,OYST,Gynecologic Cancer-Ovarian
Ovarian Cancer,BTBOV,Gynecologic Cancer-Ovarian
Ovarian Cancer,BTOV,Gynecologic Cancer-Ovarian
Ovarian Cancer,CCBOV,Gynecologic Cancer-Ovarian
Ovarian Cancer,CCOV,Gynecologic Cancer-Ovarian
Ovarian Cancer,EBOV,Gynecologic Cancer-Ovarian
Ovarian Cancer,EOV,Gynecologic Cancer-Ovarian
Ovarian Cancer,HGONEC,Gynecologic Cancer-Ovarian
Ovarian Cancer,HGSFT,Gynecologic Cancer-Ovarian
Ovarian Cancer,HGSOC,Gynecologic Cancer-Ovarian
Ovarian Cancer,LGSOC,Gynecologic Cancer-Ovarian
Ovarian Cancer,MBOV,Gynecologic Cancer-Ovarian
Ovarian Cancer,MOV,Gynecologic Cancer-Ovarian
Ovarian Cancer,MXOV,Gynecologic Cancer-Ovarian
Ovarian Cancer,OCNOS,Gynecologic Cancer-Ovarian
Ovarian Cancer,OCS,Gynecologic Cancer-Ovarian
Ovarian Cancer,OOVC,Gynecologic Cancer-Ovarian
Ovarian Cancer,OSMAD,Gynecologic Cancer-Ovarian
Ovarian Cancer,OSMBT,Gynecologic Cancer-Ovarian
Ovarian Cancer,OSMCA,Gynecologic Cancer-Ovarian
Ovarian Cancer,OVT,Gynecologic Cancer-Ovarian
Ovarian Cancer,SBMOV,Gynecologic Cancer-Ovarian
Ovarian Cancer,SBOV,Gynecologic Cancer-Ovarian
Ovarian Cancer,SCCO,Gynecologic Cancer-Ovarian
Ovarian Cancer,SOC,Gynecologic Cancer-Ovarian
Ovarian/Fallopian Tube Cancer,OVARY,Gynecologic Cancer-Ovarian
Sex Cord Stromal Tumor,FT,Gynecologic Cancer-Ovarian
Sex Cord Stromal Tumor,GRCT,Gynecologic Cancer-Ovarian
Sex Cord Stromal Tumor,OGBL,Gynecologic Cancer-Ovarian
Sex Cord Stromal Tumor,SCST,Gynecologic Cancer-Ovarian
Sex Cord Stromal Tumor,SCT,Gynecologic Cancer-Ovarian
Sex Cord Stromal Tumor,SLCT,Gynecologic Cancer-Ovarian
Head and Neck Cancer,ASCT,Head and Neck Cancer
Head and Neck Cancer,CCOC,Head and Neck Cancer
Head and Neck Cancer,EMYOCA,Head and Neck Cancer
Head and Neck Cancer,HEAD_NECK,Head and Neck Cancer
Head and Neck Cancer,HNNE,Head and Neck Cancer
Head and Neck Cancer,HNSC,Head and Neck Cancer
Head and Neck Cancer,HNSCUP,Head and Neck Cancer
Head and Neck Cancer,HPHSC,Head and Neck Cancer
Head and Neck Cancer,LXSC,Head and Neck Cancer
Head and Neck Cancer,NMCHN,Head and Neck Cancer
Head and Neck Cancer,NPC,Head and Neck Cancer
Head and Neck Cancer,OCSC,Head and Neck Cancer
Head and Neck Cancer,ODGC,Head and Neck Cancer
Head and Neck Cancer,OHNCA,Head and Neck Cancer
Head and Neck Cancer,OPHSC,Head and Neck Cancer
Head and Neck Cancer,SNA,Head and Neck Cancer
Head and Neck Cancer,SNSC,Head and Neck Cancer
Head and Neck Cancer,SNUC,Head and Neck Cancer
Parathyroid Cancer,PTH,Head and Neck Cancer
Parathyroid Cancer,PTHC,Head and Neck Cancer
Salivary Gland Cancer,ACCC,Head and Neck Cancer
Salivary Gland Cancer,ACYC,Head and Neck Cancer
Salivary Gland Cancer,BCAC,Head and Neck Cancer
Salivary Gland Cancer,CAEXPA,Head and Neck Cancer
Salivary Gland Cancer,HNMASC,Head and Neck Cancer
Salivary Gland Cancer,MUCC,Head and Neck Cancer
Salivary Gland Cancer,MYEC,Head and Neck Cancer
Salivary Gland Cancer,OSACA,Head and Neck Cancer
Salivary Gland Cancer,PAC,Head and Neck Cancer
Salivary Gland Cancer,PADA,Head and Neck Cancer
Salivary Gland Cancer,SAAD,Head and Neck Cancer
Salivary Gland Cancer,SACA,Head and Neck Cancer
Salivary Gland Cancer,SDCA,Head and Neck Cancer
B-Lymphoblastic Leukemia/Lymphoma,BLL,Hematologic Cancer-Lymphoid
B-Lymphoblastic Leukemia/Lymphoma,BLLBCRABL1,Hematologic Cancer-Lymphoid
B-Lymphoblastic Leukemia/Lymphoma,BLLBCRABL1L,Hematologic Cancer-Lymphoid
B-Lymphoblastic Leukemia/Lymphoma,BLLETV6RUNX1,Hematologic Cancer-Lymphoid
B-Lymphoblastic Leukemia/Lymphoma,BLLHYPER,Hematologic Cancer-Lymphoid
B-Lymphoblastic Leukemia/Lymphoma,BLLHYPO,Hematologic Cancer-Lymphoid
B-Lymphoblastic Leukemia/Lymphoma,BLLIAMP21,Hematologic Cancer-Lymphoid
B-Lymphoblastic Leukemia/Lymphoma,BLLKMT2A,Hematologic Cancer-Lymphoid
B-Lymphoblastic Leukemia/Lymphoma,BLLNOS,Hematologic Cancer-Lymphoid
B-Lymphoblastic Leukemia/Lymphoma,BLLRGA,Hematologic Cancer-Lymphoid
B-Lymphoblastic Leukemia/Lymphoma,BLLTCF3PBX1,Hematologic Cancer-Lymphoid
Hodgkin Lymphoma,CHL,Hematologic Cancer-Lymphoid
Hodgkin Lymphoma,HL,Hematologic Cancer-Lymphoid
Hodgkin Lymphoma,MCCHL,Hematologic Cancer-Lymphoid
Hodgkin Lymphoma,NLPHL,Hematologic Cancer-Lymphoid
Hodgkin Lymphoma,NSCHL,Hematologic Cancer-Lymphoid
Lymphatic Cancer,LYMPH,Hematologic Cancer-Lymphoid
"Lymphatic Cancer, NOS",LATL,Hematologic Cancer-Lymphoid
"Lymphatic Cancer, NOS",LBGN,Hematologic Cancer-Lymphoid
"Lymphatic Cancer, NOS",LNM,Hematologic Cancer-Lymphoid
Mature B-Cell Neoplasms,ABC,Hematologic Cancer-Lymphoid
Mature B-Cell Neoplasms,ALKLBCL,Hematologic Cancer-Lymphoid
Mature B-Cell Neoplasms,BCLU,Hematologic Cancer-Lymphoid
Mature B-Cell Neoplasms,BL,Hematologic Cancer-Lymphoid
Mature B-Cell Neoplasms,BLL11Q,Hematologic Cancer-Lymphoid
Mature B-Cell Neoplasms,BPLL,Hematologic Cancer-Lymphoid
Mature B-Cell Neoplasms,CLLSLL,Hematologic Cancer-Lymphoid
Mature B-Cell Neoplasms,DFL,Hematologic Cancer-Lymphoid
Mature B-Cell Neoplasms,DLBCLNOS,Hematologic Cancer-Lymphoid
Mature B-Cell Neoplasms,EBVDLBCLNOS,Hematologic Cancer-Lymphoid
Mature B-Cell Neoplasms,EMALT,Hematologic Cancer-Lymphoid
Mature B-Cell Neoplasms,EP,Hematologic Cancer-Lymphoid
Mature B-Cell Neoplasms,FL,Hematologic Cancer-Lymphoid
Mature B-Cell Neoplasms,GCB,Hematologic Cancer-Lymphoid
Mature B-Cell Neoplasms,HCL,Hematologic Cancer-Lymphoid
Mature B-Cell Neoplasms,HCL-V,Hematologic Cancer-Lymphoid
Mature B-Cell Neoplasms,HGBCL,Hematologic Cancer-Lymphoid
Mature B-Cell Neoplasms,HGBCLMYCBCL2,Hematologic Cancer-Lymphoid
