CANCER_TYPE,ONCOTREE_CODE,cancerAnalyzed
Mature B-Cell Neoplasms,IVBCL,Hematologic Cancer-Lymphoid
Mature B-Cell Neoplasms,LPL,Hematologic Cancer-Lymphoid
Mature B-Cell Neoplasms,LYG,Hematologic Cancer-Lymphoid
Mature B-Cell Neoplasms,MBN,Hematologic Cancer-Lymphoid
Mature B-Cell Neoplasms,MCBCL,Hematologic Cancer-Lymphoid
Mature B-Cell Neoplasms,MCL,Hematologic Cancer-Lymphoid
Mature B-Cell Neoplasms,MGUS,Hematologic Cancer-Lymphoid
Mature B-Cell Neoplasms,MGUSIGG,Hematologic Cancer-Lymphoid
Mature B-Cell Neoplasms,MGUSIGM,Hematologic Cancer-Lymphoid
Mature B-Cell Neoplasms,MIDDA,Hematologic Cancer-Lymphoid
Mature B-Cell Neoplasms,MZL,Hematologic Cancer-Lymphoid
Mature B-Cell Neoplasms,NMZL,Hematologic Cancer-Lymphoid
Mature B-Cell Neoplasms,PCFCL,Hematologic Cancer-Lymphoid
Mature B-Cell Neoplasms,PCLBCLLT,Hematologic Cancer-Lymphoid
Mature B-Cell Neoplasms,PCM,Hematologic Cancer-Lymphoid
Mature B-Cell Neoplasms,PCNSL,Hematologic Cancer-Lymphoid
Mature B-Cell Neoplasms,PEL,Hematologic Cancer-Lymphoid
Mature B-Cell Neoplasms,PLBL,Hematologic Cancer-Lymphoid
Mature B-Cell Neoplasms,PMBL,Hematologic Cancer-Lymphoid
Mature B-Cell Neoplasms,SMZL,Hematologic Cancer-Lymphoid
Mature B-Cell Neoplasms,SPB,Hematologic Cancer-Lymphoid
Mature B-Cell Neoplasms,THRLBCL,Hematologic Cancer-Lymphoid
Mature B-Cell Neoplasms,WM,Hematologic Cancer-Lymphoid
Mature T and NK Neoplasms,AITL,Hematologic Cancer-Lymphoid
Mature T and NK Neoplasms,ALCL,Hematologic Cancer-Lymphoid
Mature T and NK Neoplasms,ALCLALKN,Hematologic Cancer-Lymphoid
Mature T and NK Neoplasms,ALCLALKP,Hematologic Cancer-Lymphoid
Mature T and NK Neoplasms,ANKL,Hematologic Cancer-Lymphoid
Mature T and NK Neoplasms,ATLL,Hematologic Cancer-Lymphoid
Mature T and NK Neoplasms,BIALCL,Hematologic Cancer-Lymphoid
Mature T and NK Neoplasms,CLPDNK,Hematologic Cancer-Lymphoid
Mature T and NK Neoplasms,EATL,Hematologic Cancer-Lymphoid
Mature T and NK Neoplasms,ENKL,Hematologic Cancer-Lymphoid
Mature T and NK Neoplasms,FTCL,Hematologic Cancer-Lymphoid
Mature T and NK Neoplasms,HSTCL,Hematologic Cancer-Lymphoid
Mature T and NK Neoplasms,MEITL,Hematologic Cancer-Lymphoid
Mature T and NK Neoplasms,MTNN,Hematologic Cancer-Lymphoid
Mature T and NK Neoplasms,MYCF,Hematologic Cancer-Lymphoid
Mature T and NK Neoplasms,NPTLTFH,Hematologic Cancer-Lymphoid
Mature T and NK Neoplasms,PCAECTCL,Hematologic Cancer-Lymphoid
Mature T and NK Neoplasms,PCGDTCL,Hematologic Cancer-Lymphoid
Mature T and NK Neoplasms,PCLPD,Hematologic Cancer-Lymphoid
Mature T and NK Neoplasms,PCSMTPLD,Hematologic Cancer-Lymphoid
Mature T and NK Neoplasms,PTCL,Hematologic Cancer-Lymphoid
Mature T and NK Neoplasms,SEBVTLC,Hematologic Cancer-Lymphoid
Mature T and NK Neoplasms,SPTCL,Hematologic Cancer-Lymphoid
Mature T and NK Neoplasms,SS,Hematologic Cancer-Lymphoid
Mature T and NK Neoplasms,TLGL,Hematologic Cancer-Lymphoid
Mature T and NK Neoplasms,TPLL,Hematologic Cancer-Lymphoid
Non-Hodgkin Lymphoma,NHL,Hematologic Cancer-Lymphoid
Non-Hodgkin Lymphoma,TLYM,Hematologic Cancer-Lymphoid
Posttransplant Lymphoproliferative Disorders,CHLPTLD,Hematologic Cancer-Lymphoid
Posttransplant Lymphoproliferative Disorders,FHPTLD,Hematologic Cancer-Lymphoid
Posttransplant Lymphoproliferative Disorders,IMPTLD,Hematologic Cancer-Lymphoid
Posttransplant Lymphoproliferative Disorders,MPTLD,Hematologic Cancer-Lymphoid
Posttransplant Lymphoproliferative Disorders,PTLD,Hematologic Cancer-Lymphoid
T-Lymphoblastic Leukemia/Lymphoma,ETPLL,Hematologic Cancer-Lymphoid
T-Lymphoblastic Leukemia/Lymphoma,NKCLL,Hematologic Cancer-Lymphoid
T-Lymphoblastic Leukemia/Lymphoma,TLL,Hematologic Cancer-Lymphoid
Blastic Plasmacytoid Dendritic Cell Neoplasm,BPDCN,Hematologic Cancer-Myeloid
Blood Cancer,MYELOID,Hematologic Cancer-Myeloid
"Blood Cancer, NOS",MATPL,Hematologic Cancer-Myeloid
"Blood Cancer, NOS",MBGN,Hematologic Cancer-Myeloid
"Blood Cancer, NOS",MNM,Hematologic Cancer-Myeloid
Histiocytosis,ECD,Hematologic Cancer-Myeloid
Histiocytosis,FRCT,Hematologic Cancer-Myeloid
Histiocytosis,HDCN,Hematologic Cancer-Myeloid
Histiocytosis,HS,Hematologic Cancer-Myeloid
Histiocytosis,IDCT,Hematologic Cancer-Myeloid
Histiocytosis,JXG,Hematologic Cancer-Myeloid
Histiocytosis,LCH,Hematologic Cancer-Myeloid
Histiocytosis,LCS,Hematologic Cancer-Myeloid
Histiocytosis,RDD,Hematologic Cancer-Myeloid
Leukemia,ALAL,Hematologic Cancer-Myeloid
Leukemia,AM,Hematologic Cancer-Myeloid
Leukemia,AMKL,Hematologic Cancer-Myeloid
Leukemia,AML,Hematologic Cancer-Myeloid
Leukemia,AMLBCRABL1,Hematologic Cancer-Myeloid
Leukemia,AMLCBFBMYH11,Hematologic Cancer-Myeloid
Leukemia,AMLCEBPA,Hematologic Cancer-Myeloid
Leukemia,AMLDEKNUP214,Hematologic Cancer-Myeloid
Leukemia,AMLGATA2MECOM,Hematologic Cancer-Myeloid
Leukemia,AMLMD,Hematologic Cancer-Myeloid
Leukemia,AMLMLLT3KMT2A,Hematologic Cancer-Myeloid
Leukemia,AMLMRC,Hematologic Cancer-Myeloid
Leukemia,AMLNOS,Hematologic Cancer-Myeloid
Leukemia,AMLNPM1,Hematologic Cancer-Myeloid
Leukemia,AMLRARA,Hematologic Cancer-Myeloid
Leukemia,AMLRGA,Hematologic Cancer-Myeloid
Leukemia,AMLRUNX1,Hematologic Cancer-Myeloid
Leukemia,AMLRUNX1RUNX1T1,Hematologic Cancer-Myeloid
Leukemia,AMML,Hematologic Cancer-Myeloid
Leukemia,AMOL,Hematologic Cancer-Myeloid
Leukemia,APLPMLRARA,Hematologic Cancer-Myeloid
Leukemia,APMF,Hematologic Cancer-Myeloid
Leukemia,AUL,Hematologic Cancer-Myeloid
Leukemia,AWM,Hematologic Cancer-Myeloid
Leukemia,MLADS,Hematologic Cancer-Myeloid
Leukemia,MLNER,Hematologic Cancer-Myeloid
Leukemia,MLNFGFR1,Hematologic Cancer-Myeloid
Leukemia,MLNPCM1JAK2,Hematologic Cancer-Myeloid
Leukemia,MLNPDGFRA,Hematologic Cancer-Myeloid
Leukemia,MLNPDGFRB,Hematologic Cancer-Myeloid
Leukemia,MPALBCRABL1,Hematologic Cancer-Myeloid
Leukemia,MPALBNOS,Hematologic Cancer-Myeloid
Leukemia,MPALKMT2A,Hematologic Cancer-Myeloid
Leukemia,MPALTNOS,Hematologic Cancer-Myeloid
Leukemia,MPRDS,Hematologic Cancer-Myeloid
Leukemia,MS,Hematologic Cancer-Myeloid
Leukemia,PERL,Hematologic Cancer-Myeloid
Leukemia,TAM,Hematologic Cancer-Myeloid
Leukemia,TAML,Hematologic Cancer-Myeloid
Leukemia,TMDS,Hematologic Cancer-Myeloid
Leukemia,TMN,Hematologic Cancer-Myeloid
Mastocytosis,ASM,Hematologic Cancer-Myeloid
Mastocytosis,CMCD,Hematologic Cancer-Myeloid
Mastocytosis,ISM,Hematologic Cancer-Myeloid
Mastocytosis,MCD,Hematologic Cancer-Myeloid
Mastocytosis,SM,Hematologic Cancer-Myeloid
Mastocytosis,SMAHN,Hematologic Cancer-Myeloid
Mastocytosis,SMMCL,Hematologic Cancer-Myeloid
Myelodysplastic Syndromes,MDS,Hematologic Cancer-Myeloid
Myelodysplastic Syndromes,MDSEB,Hematologic Cancer-Myeloid
Myelodysplastic Syndromes,MDSEB1,Hematologic Cancer-Myeloid
Myelodysplastic Syndromes,MDSEB2,Hematologic Cancer-Myeloid
Myelodysplastic Syndromes,MDSID5Q,Hematologic Cancer-Myeloid
Myelodysplastic Syndromes,MDSMD,Hematologic Cancer-Myeloid
Myelodysplastic Syndromes,MDSRS,Hematologic Cancer-Myeloid
Myelodysplastic Syndromes,MDSRSMD,Hematologic Cancer-Myeloid
Myelodysplastic Syndromes,MDSRSSLD,Hematologic Cancer-Myeloid
Myelodysplastic Syndromes,MDSSLD,Hematologic Cancer-Myeloid
Myelodysplastic Syndromes,MDSU,Hematologic Cancer-Myeloid
Myelodysplastic/Myeloproliferative Neoplasms,ACML,Hematologic Cancer-Myeloid
Myelodysplastic/Myeloproliferative Neoplasms,CMML,Hematologic Cancer-Myeloid
Myelodysplastic/Myeloproliferative Neoplasms,CMML0,Hematologic Cancer-Myeloid
Myelodysplastic/Myeloproliferative Neoplasms,CMML1,Hematologic Cancer-Myeloid
Myelodysplastic/Myeloproliferative Neoplasms,CMML2,Hematologic Cancer-Myeloid
Myelodysplastic/Myeloproliferative Neoplasms,JMML,Hematologic Cancer-Myeloid
Myelodysplastic/Myeloproliferative Neoplasms,MDS/MPN,Hematologic Cancer-Myeloid
Myelodysplastic/Myeloproliferative Neoplasms,MDSMPNRST,Hematologic Cancer-Myeloid
Myelodysplastic/Myeloproliferative Neoplasms,MDSMPNU,Hematologic Cancer-Myeloid
Myeloid Neoplasms with Germ Line Predisposition,MNGLP,Hematologic Cancer-Myeloid
Myeloproliferative Neoplasms,CELNOS,Hematologic Cancer-Myeloid
Myeloproliferative Neoplasms,CML,Hematologic Cancer-Myeloid
Myeloproliferative Neoplasms,CMLBCRABL1,Hematologic Cancer-Myeloid
Myeloproliferative Neoplasms,CNL,Hematologic Cancer-Myeloid
Myeloproliferative Neoplasms,ET,Hematologic Cancer-Myeloid
Myeloproliferative Neoplasms,ETMF,Hematologic Cancer-Myeloid
Myeloproliferative Neoplasms,MPN,Hematologic Cancer-Myeloid
Myeloproliferative Neoplasms,MPNU,Hematologic Cancer-Myeloid
Myeloproliferative Neoplasms,PMF,Hematologic Cancer-Myeloid
Myeloproliferative Neoplasms,PMFOFS,Hematologic Cancer-Myeloid
Myeloproliferative Neoplasms,PMFPES,Hematologic Cancer-Myeloid
Myeloproliferative Neoplasms,PV,Hematologic Cancer-Myeloid
Myeloproliferative Neoplasms,PVMF,Hematologic Cancer-Myeloid
Hepatobiliary Cancer,CHOL,Hepatobiliary Cancer
Hepatobiliary Cancer,EHCH,Hepatobiliary Cancer
Hepatobiliary Cancer,FLC,Hepatobiliary Cancer
Hepatobiliary Cancer,GBAD,Hepatobiliary Cancer
Hepatobiliary Cancer,GBASC,Hepatobiliary Cancer
Hepatobiliary Cancer,GBC,Hepatobiliary Cancer
Hepatobiliary Cancer,HCC,Hepatobiliary Cancer
Hepatobiliary Cancer,HCCIHCH,Hepatobiliary Cancer
Hepatobiliary Cancer,ICPN,Hepatobiliary Cancer
Hepatobiliary Cancer,IHCH,Hepatobiliary Cancer
Hepatobiliary Cancer,IPN,Hepatobiliary Cancer
Hepatobiliary Cancer,LIAD,Hepatobiliary Cancer
Hepatobiliary Cancer,LIAS,Hepatobiliary Cancer
Hepatobiliary Cancer,LIHB,Hepatobiliary Cancer
Hepatobiliary Cancer,LIMNET,Hepatobiliary Cancer
Hepatobiliary Cancer,PHCH,Hepatobiliary Cancer
Hepatobiliary Cancer,SCGBC,Hepatobiliary Cancer
Liver Cancer,LIVER,Hepatobiliary Cancer
Malignant Rhabdoid Tumor of the Liver,MRTL,Hepatobiliary Cancer
Undifferentiated Embryonal Sarcoma of the Liver,UESL,Hepatobiliary Cancer
Clear Cell Sarcoma of Kidney,CCSK,Kidney Cancer
Kidney Cancer,KIDNEY,Kidney Cancer
Renal Cell Carcinoma,CCPRC,Kidney Cancer
Renal Cell Carcinoma,CCRCC,Kidney Cancer
Renal Cell Carcinoma,CDRCC,Kidney Cancer
Renal Cell Carcinoma,CHRCC,Kidney Cancer
Renal Cell Carcinoma,FHRCC,Kidney Cancer
Renal Cell Carcinoma,MRC,Kidney Cancer
Renal Cell Carcinoma,MTSCC,Kidney Cancer
Renal Cell Carcinoma,NCCRCC,Kidney Cancer
Renal Cell Carcinoma,PRCC,Kidney Cancer
Renal Cell Carcinoma,RAML,Kidney Cancer
Renal Cell Carcinoma,RCC,Kidney Cancer
Renal Cell Carcinoma,ROCY,Kidney Cancer
Renal Cell Carcinoma,RSCC,Kidney Cancer
Renal Cell Carcinoma,SCCRCC,Kidney Cancer
Renal Cell Carcinoma,SRCC,Kidney Cancer
Renal Cell Carcinoma,TRCC,Kidney Cancer
Renal Cell Carcinoma,URCC,Kidney Cancer
Renal Neuroendocrine Tumor,RNET,Kidney Cancer
Rhabdoid Cancer,MRT,Kidney Cancer
Wilms Tumor,WT,Kidney Cancer
Lung Cancer,LUNG,Lung Cancer
Non-Small Cell Lung Cancer,ALUCA,Lung Cancer
Non-Small Cell Lung Cancer,BLCLC,Lung Cancer
Non-Small Cell Lung Cancer,CCLC,Lung Cancer
Non-Small Cell Lung Cancer,CMPT,Lung Cancer
Non-Small Cell Lung Cancer,GCLC,Lung Cancer
Non-Small Cell Lung Cancer,IMTL,Lung Cancer
Non-Small Cell Lung Cancer,LAIS,Lung Cancer
Non-Small Cell Lung Cancer,LAM,Lung Cancer
Non-Small Cell Lung Cancer,LCLC,Lung Cancer
Non-Small Cell Lung Cancer,LECLC,Lung Cancer
Non-Small Cell Lung Cancer,LNET,Lung Cancer
Non-Small Cell Lung Cancer,LUACC,Lung Cancer
Non-Small Cell Lung Cancer,LUAD,Lung Cancer
Non-Small Cell Lung Cancer,LUAS,Lung Cancer
Non-Small Cell Lung Cancer,LUCA,Lung Cancer
Non-Small Cell Lung Cancer,LUMEC,Lung Cancer
Non-Small Cell Lung Cancer,LUNE,Lung Cancer
Non-Small Cell Lung Cancer,LUPC,Lung Cancer
Non-Small Cell Lung Cancer,LUSC,Lung Cancer
Non-Small Cell Lung Cancer,NSCLC,Lung Cancer
Non-Small Cell Lung Cancer,NSCLCPD,Lung Cancer
Non-Small Cell Lung Cancer,NUTCL,Lung Cancer
Non-Small Cell Lung Cancer,PPB,Lung Cancer
Non-Small Cell Lung Cancer,SARCL,Lung Cancer
Non-Small Cell Lung Cancer,SGTTL,Lung Cancer
Non-Small Cell Lung Cancer,SPCC,Lung Cancer
Small Cell Lung Cancer,CSCLC,Lung Cancer
Small Cell Lung Cancer,SCLC,Lung Cancer
Pancreatic Cancer,IOPN,Pancreatic Cancer
Pancreatic Cancer,IPMN,Pancreatic Cancer
Pancreatic Cancer,ITPN,Pancreatic Cancer
Pancreatic Cancer,MCN,Pancreatic Cancer
Pancreatic Cancer,OSGCT,Pancreatic Cancer
Pancreatic Cancer,PAAC,Pancreatic Cancer
Pancreatic Cancer,PAAD,Pancreatic Cancer
Pancreatic Cancer,PAASC,Pancreatic Cancer
Pancreatic Cancer,PACT,Pancreatic Cancer
Pancreatic Cancer,PANCREAS,Pancreatic Cancer
Pancreatic Cancer,PANEC,Pancreatic Cancer
Pancreatic Cancer,PANET,Pancreatic Cancer
Pancreatic Cancer,PB,Pancreatic Cancer
Pancreatic Cancer,PSC,Pancreatic Cancer
Pancreatic Cancer,SPN,Pancreatic Cancer
Pancreatic Cancer,UCP,Pancreatic Cancer
Prostate Cancer,BCCP,Prostate Cancer
Prostate Cancer,PRAD,Prostate Cancer
Prostate Cancer,PRNE,Prostate Cancer
Prostate Cancer,PROSTATE,Prostate Cancer
Prostate Cancer,PRSC,Prostate Cancer
Prostate Cancer,PRSCC,Prostate Cancer
Adenocarcinoma In Situ,AIS,Rare Cancer
Adrenal Gland Cancer,ADRENAL_GLAND,Rare Cancer
Adrenocortical Adenoma,ACA,Rare Cancer
Adrenocortical Carcinoma,ACC,Rare Cancer
Ampullary Cancer,AMPCA,Rare Cancer
Ampullary Cancer,IAMPCA,Rare Cancer
Ampullary Cancer,MAMPCA,Rare Cancer
Ampullary Cancer,PAMPCA,Rare Cancer
Biliary Tract Cancer,BILIARY_TRACT,Rare Cancer
Bone Cancer,ADMA,Rare Cancer
Bone Cancer,BONE,Rare Cancer
Bone Cancer,CCHDM,Rare Cancer
Bone Cancer,CHBL,Rare Cancer
Bone Cancer,CHDM,Rare Cancer
Bone Cancer,CHOS,Rare Cancer
Bone Cancer,CHS,Rare Cancer
Bone Cancer,DDCHDM,Rare Cancer
Bone Cancer,DDCHS,Rare Cancer
Bone Cancer,EMCHS,Rare Cancer
Bone Cancer,ES,Rare Cancer
Bone Cancer,FIOS,Rare Cancer
Bone Cancer,GCTB,Rare Cancer
Bone Cancer,HGSOS,Rare Cancer
Bone Cancer,LGCOS,Rare Cancer
Bone Cancer,MCHS,Rare Cancer
Bone Cancer,MYCHS,Rare Cancer
Bone Cancer,OS,Rare Cancer
Bone Cancer,OSOS,Rare Cancer
Bone Cancer,PAOS,Rare Cancer
Bone Cancer,PEOS,Rare Cancer
Bone Cancer,SCOS,Rare Cancer
Bone Cancer,SECOS,Rare Cancer
Bone Cancer,TEOS,Rare Cancer
Eye Cancer,EYE,Rare Cancer
Germ Cell Tumor,EGCT,Rare Cancer
Germ Cell Tumor,EMBCA,Rare Cancer
Germ Cell Tumor,GCTSTM,Rare Cancer
Germ Cell Tumor,GMN,Rare Cancer
Germ Cell Tumor,MGCT,Rare Cancer
Germ Cell Tumor,NSGCT,Rare Cancer
Germ Cell Tumor,SEM,Rare Cancer
Germ Cell Tumor,TCCA,Rare Cancer
Germ Cell Tumor,TT,Rare Cancer
Germ Cell Tumor,TYST,Rare Cancer
Lacrimal Gland Tumor,ACLG,Rare Cancer
Lacrimal Gland Tumor,LGT,Rare Cancer
Mesothelioma,PEMESO,Rare Cancer
Mesothelioma,PLBMESO,Rare Cancer
Mesothelioma,PLEMESO,Rare Cancer
Mesothelioma,PLMESO,Rare Cancer
Mesothelioma,PLSMESO,Rare Cancer
Mesothelioma,TMESO,Rare Cancer
Nerve Sheath Tumor,CSCHW,Rare Cancer
Nerve Sheath Tumor,MPNST,Rare Cancer
Nerve Sheath Tumor,MSCHW,Rare Cancer
Nerve Sheath Tumor,NFIB,Rare Cancer
Nerve Sheath Tumor,NST,Rare Cancer
Nerve Sheath Tumor,SCHW,Rare Cancer
Penile Cancer,BPSCC,Rare Cancer
Penile Cancer,PSCC,Rare Cancer
Peripheral Nervous System,GN,Rare Cancer
Peripheral Nervous System,GNBL,Rare Cancer
Peripheral Nervous System,NBL,Rare Cancer
Peripheral Nervous System Cancer,PNS,Rare Cancer
Peritoneal Cancer,PERITONEUM,Rare Cancer
"Peritoneal Cancer, NOS",PSEC,Rare Cancer
Pheochromocytoma,PHC,Rare Cancer
Sex Cord Stromal Tumor,TSCST,Rare Cancer
Testicular Cancer,TESTIS,Rare Cancer
Thymic Tumor,TET,Rare Cancer
Thymic Tumor,THYC,Rare Cancer
Thymic Tumor,THYM,Rare Cancer
Thymic Tumor,TNET,Rare Cancer
Melanoma,ACRM,Skin Cancer or Melanoma
Melanoma,ARMM,Skin Cancer or Melanoma
Melanoma,CM,Skin Cancer or Melanoma
Melanoma,DESM,Skin Cancer or Melanoma
Melanoma,ESMM,Skin Cancer or Melanoma
Melanoma,HNMUCM,Skin Cancer or Melanoma
Melanoma,MEL,Skin Cancer or Melanoma
Melanoma,MUP,Skin Cancer or Melanoma
Melanoma,OM,Skin Cancer or Melanoma
Melanoma,PCNSM,Skin Cancer or Melanoma
Melanoma,SKCM,Skin Cancer or Melanoma
Melanoma,SKCN,Skin Cancer or Melanoma
Melanoma,SKLMM,Skin Cancer or Melanoma
Melanoma,SPZM,Skin Cancer or Melanoma
Melanoma,UM,Skin Cancer or Melanoma
Melanoma,URMM,Skin Cancer or Melanoma
Melanoma,VMM,Skin Cancer or Melanoma
Skin Cancer,SKIN,Skin Cancer or Melanoma
"Skin Cancer, Non-Melanoma",ADPA,Skin Cancer or Melanoma
"Skin Cancer, Non-Melanoma",AECA,Skin Cancer or Melanoma
"Skin Cancer, Non-Melanoma",AFX,Skin Cancer or Melanoma
"Skin Cancer, Non-Melanoma",AN,Skin Cancer or Melanoma
"Skin Cancer, Non-Melanoma",BCC,Skin Cancer or Melanoma
"Skin Cancer, Non-Melanoma",CSCC,Skin Cancer or Melanoma
"Skin Cancer, Non-Melanoma",DF,Skin Cancer or Melanoma
"Skin Cancer, Non-Melanoma",DFSP,Skin Cancer or Melanoma
"Skin Cancer, Non-Melanoma",DTE,Skin Cancer or Melanoma
"Skin Cancer, Non-Melanoma",EMPD,Skin Cancer or Melanoma
"Skin Cancer, Non-Melanoma",EMPSGC,Skin Cancer or Melanoma
"Skin Cancer, Non-Melanoma",MAC,Skin Cancer or Melanoma
"Skin Cancer, Non-Melanoma",MCC,Skin Cancer or Melanoma
"Skin Cancer, Non-Melanoma",POCA,Skin Cancer or Melanoma
"Skin Cancer, Non-Melanoma",PPCT,Skin Cancer or Melanoma
"Skin Cancer, Non-Melanoma",SEBA,Skin Cancer or Melanoma
"Skin Cancer, Non-Melanoma",SGAD,Skin Cancer or Melanoma
"Skin Cancer, Non-Melanoma",SKAC,Skin Cancer or Melanoma
"Skin Cancer, Non-Melanoma",SPIR,Skin Cancer or Melanoma
Angiomatoid Fibrous Histiocytoma,AFH,Soft Tissue Cancer
Gastrointestinal Stromal Tumor,GIST,Soft Tissue Cancer
Infantile Fibrosarcoma,IFS,Soft Tissue Cancer
Malignant Glomus Tumor,MGST,Soft Tissue Cancer
Myofibromatosis,IMS,Soft Tissue Cancer
Soft Tissue Cancer,LM,Soft Tissue Cancer
Soft Tissue Cancer,SOFT_TISSUE,Soft Tissue Cancer
Soft Tissue Sarcoma,ALT,Soft Tissue Cancer
Soft Tissue Sarcoma,ANGS,Soft Tissue Cancer
Soft Tissue Sarcoma,ARMS,Soft Tissue Cancer
Soft Tissue Sarcoma,ASPS,Soft Tissue Cancer
Soft Tissue Sarcoma,CCS,Soft Tissue Cancer
Soft Tissue Sarcoma,DCS,Soft Tissue Cancer
Soft Tissue Sarcoma,DDLS,Soft Tissue Cancer
Soft Tissue Sarcoma,DES,Soft Tissue Cancer
Soft Tissue Sarcoma,DSRCT,Soft Tissue Cancer
Soft Tissue Sarcoma,EHAE,Soft Tissue Cancer
Soft Tissue Sarcoma,EPIS,Soft Tissue Cancer
Soft Tissue Sarcoma,ERMS,Soft Tissue Cancer
Soft Tissue Sarcoma,ESST,Soft Tissue Cancer
Soft Tissue Sarcoma,FDCS,Soft Tissue Cancer
Soft Tissue Sarcoma,FIBS,Soft Tissue Cancer
Soft Tissue Sarcoma,GS,Soft Tissue Cancer
Soft Tissue Sarcoma,HDCS,Soft Tissue Cancer
Soft Tissue Sarcoma,HEMA,Soft Tissue Cancer
Soft Tissue Sarcoma,IDCS,Soft Tissue Cancer
Soft Tissue Sarcoma,IMT,Soft Tissue Cancer
Soft Tissue Sarcoma,INTS,Soft Tissue Cancer
Soft Tissue Sarcoma,LGFMS,Soft Tissue Cancer
Soft Tissue Sarcoma,LIPO,Soft Tissue Cancer
Soft Tissue Sarcoma,LMS,Soft Tissue Cancer
Soft Tissue Sarcoma,MF,Soft Tissue Cancer
Soft Tissue Sarcoma,MFH,Soft Tissue Cancer
Soft Tissue Sarcoma,MFS,Soft Tissue Cancer
Soft Tissue Sarcoma,MPC,Soft Tissue Cancer
Soft Tissue Sarcoma,MRLS,Soft Tissue Cancer
Soft Tissue Sarcoma,MYXO,Soft Tissue Cancer
Soft Tissue Sarcoma,OFMT,Soft Tissue Cancer
Soft Tissue Sarcoma,PECOMA,Soft Tissue Cancer
Soft Tissue Sarcoma,PLLS,Soft Tissue Cancer
Soft Tissue Sarcoma,PLRMS,Soft Tissue Cancer
Soft Tissue Sarcoma,PMHE,Soft Tissue Cancer
Soft Tissue Sarcoma,PTES,Soft Tissue Cancer
Soft Tissue Sarcoma,RAS,Soft Tissue Cancer
Soft Tissue Sarcoma,RCSNOS,Soft Tissue Cancer
Soft Tissue Sarcoma,RMS,Soft Tissue Cancer
Soft Tissue Sarcoma,SARCNOS,Soft Tissue Cancer
Soft Tissue Sarcoma,SCRMS,Soft Tissue Cancer
Soft Tissue Sarcoma,SCSRMS,Soft Tissue Cancer
Soft Tissue Sarcoma,SEF,Soft Tissue Cancer
Soft Tissue Sarcoma,SFT,Soft Tissue Cancer
Soft Tissue Sarcoma,STMYEC,Soft Tissue Cancer
Soft Tissue Sarcoma,SYNS,Soft Tissue Cancer
Soft Tissue Sarcoma,TGCT,Soft Tissue Cancer
Soft Tissue Sarcoma,WDLS,Soft Tissue Cancer
Thyroid Cancer,HTAT,Thyroid Cancer
Thyroid Cancer,OAT,Thyroid Cancer
Thyroid Cancer,THAP,Thyroid Cancer
Thyroid Cancer,THFO,Thyroid Cancer
Thyroid Cancer,THHC,Thyroid Cancer
Thyroid Cancer,THME,Thyroid Cancer
Thyroid Cancer,THPA,Thyroid Cancer
Thyroid Cancer,THPD,Thyroid Cancer
Thyroid Cancer,THYROID,Thyroid Cancer
Thyroid Cancer,WDTC,Thyroid Cancer